garrapata	Amaku.
garrote, porra	Maqana.
garúa	Ipu.
garza	Waqar.
gaseoso, vaho	Wapsi.
gato montés	Usqu misi.
gato	Misi.
gavilán	Anka.
gaviota	Qiwlla.
gente, persona	Runa.
girar, dar vueltas	Muyuy.
golondrina	Wayanay.
golpear, pegar	Maqay.
gorrión	Pichiwsa.
gotear	Sutuy.
gramo	Aqnu.
grande, alto	Hatun.
grasa congelada	Tikayasqa.
grillo	Chilliku.
gritar	Qapariy.
grueso en objetos laminados	Rakta.
grueso	Raku.
grupo de cosas	Huñusqa.
grupo	Huñu.
guanaco	Wanaku.
guiar	Pusay.
guiñar los ojos con cólera	Qimchiy.
guiso picante	Llatan.
gusano	Kuru.
gusano	Uru.
habas sancochadas	Puspu.
habas	Hawas.
hacer adivinanza	Watuchiy.
hacer quesillo en forma de terrones	Kurpay.
hacer	Ruray.
hacha	Champi.
halcón	Waman.
hambre	Yarqay.
hambruna	Muchuy.
hambruna	Chiraw.
harina de cereal	Machka.
heces	Aka.
helada	Qasa.
herida, úlcera, llaga	Kiri.
hermana de la mujer	Ñaña.
hermana del varón	Pani.
hermano de la mujer	Turi.
hermano del varón	Wawqi.
hermosear	Achalay.
hermoso	Sumaq.
herramienta de labranza	Churuna.
herramienta para la urdimbre	Allwina.
hervir	Timpuy.
hielo, helada	Chullunku.
hierba, mala hierba	Qura.
hierba, pasto	Qiwa.
hierro	Qillay.
hígado	Kichpan.
hija del padre	Ususi.
hijo	Churi.
hijo menor	Sullka.
hilar	Puchkay.
hilo	Qaytu.
himno, canto triunfal	Haylli.
hinchado	Punkisqa.
hito	Saywa.
hombre rico, poderoso	Apu.
hombre	Qari.
hombro	Rikra.
hondonada	Pukru sqa.
horizonte, través	Kinray.
hormiga	Sisi.
horqueta	Tanka.
horrible, feo	Millay.
hoy, ahora	Kunan, kanan.
hoz, segadora	Rutuna.
huacatay silvestre	Chikchimpay.
huella	Yupi.
huérfano	Wakcha.
huevo	Runtu.
humear	Qusñiy.
humita	Huminta.
identificar	Kikinchay.
imaginarse	Rikchapakuy.
imperdible, prendedor	Tipana.
inca	Inka.
insípido	Qamya.
insultar	Kamiy.
inteligente	Umayuq.
ir	Riy.
isaño	Maswa.
izquierda	Lluqi, ichuq.
jaguar	Uturunku.
jardin	Muya.
jilguero	Chinqu.
jora para chicha	Wiñapu.
joroba, jorobado	Kurku.
joven varón	Maqta.
jugar	Pukllay.
juzgar, hacer justicia	Paqtachay.
labios	Wirpa.
labrar	Llaqllay.
ladera, pendiente	Qata.
ladera	Waqta.
ladrar, reprender	Anyay.
ladrón	Suwa.
lagarto, lagartija	Qaraywa.
lagarto, lagartija	Sukullukuy.
lago, laguna, estanque	Qucha.
lágrima, llanto	Wiqi.
lamer	Llaqway.
lana	Millwa.
langosta	Aqaruway.
lanzar	Chamqay.
lápiz, lapicero	Qillqana.
largo	Suni.
laringe	Tunquchi.
lavador de arcilla	Llata.
lavador de arcilla	Chapa.
lavarse la cara	Upakuy.
leche cuajada	Llukllu.
leche	Ñuñu.
lechuza, mochuelo	Pakpaka.
leer	Ñawinchay.
lejos	Karu.
lengua quechua	Qichwa.
lengua	Qallu.
leña	Yanta.
letra	Qillqa.
libélula	Kachi kachi.
libélula	Tisi tisi.
liberar, zafar	Qispiy.
libertad	Paqtachi.
libertador	Qispichiq.
libro, texto	Liwru.
libro	Qillqasqa maytu.
liendre	Chiya.
límite, lindero	Qayllan.
limpiar, pulir	Kituy.
limpio	Chuya.
linaje, casta	Panaka.
litro	Winku.
liviano	Sampa.
llama	Llama.
llamar, invocar	Qayakuy.
llanura, pampa	Pampa.
llenar	Huntay.
llevar con la mano	Aysay.
llevar	Apay.
llorar	Waqay.
lluvia	Para.
loma	Muqu.
lombriz	Lliwqa.
loro	Wiqru.
luciérnaga	Pinchikilla.
lucuma	Luqma.
luna	Killa.
luxación	Muqa.
luz	Akchi.
madeja	Kawa.
madre	Mama.
madurar, maduración	Puquy.
maguey	Chuchaw.
maíz	Sara.
malagüero	Chiki.
maloliente, apestoso	Asnaq.
manantial	Pukyu.
manco	Willu.
mandar, enviar	Kachay.
maní	Inchik.
manta para cargar o abrigar la espalda	Pullu.
manta	Lliklla.
mantilla de la cabeza	Chukulli.
mañana, día siguiente	Paqarin.
mareo	Uma muyu.
mariposa nocturna	Taparaku.
mariposa	Pillpintu.
mate, vasija	Mati.
mayor	Kuraq.
mazamorra	Api.
mediano	Taksaniraqlla.
medida	Putquy.
menos	Pisi.
menstruar	Kikuy.
mentira	Llulla.
menudo	Ñutu.
mercado, plaza	Qatu.
mes	Killa.
metal	Chuqi.
meter, echar dentro de algo	Hinay.
metro	Tatki.
mezclado	Chaqru.
miccionar	Ispay.
mil	Waranqa.
milano, dominico	Aqchi.
mirar, observar	Qaway.
mitad, medio, centro	Chawpi.
mochar, talar	Wituy.
moco	Ñuti.
moler	Kutay.
molestarse	Piñakuy.
molido	Kuta.
mono	Chipi.
montera	Muntira.
morado	Kulli.
morado	Sani.
morder, masticar	Kachuy.
morder	Kaniy.
morir	Wañuy.
mortero, moledor	Tunaw.
mosca	Chuspi.
moscón chupador de sangre	Tankayllu.
mote	Muti.
moteado	Chiqchi.
muchacha	Pasña.
mudo, sordomudo	Amu.
mujer escogida	Aklla.
mujer joven	Sipas.
mujer, esposa	Warmi.
murciélago	Masu.
muro	Pata, pirqa.
nacer, brotar	Paqariy.
nadar	Waytay, tuytuy.
naríz	Sinqa.
nariz de animales	Chuñu.
negro	Yana.
nevada	Lasta.
nevada	Riti.
nevar	Ritiy.
nido	Qista.
nido	Qisa.
nieto	Willka.
niño	Irqi.
nobleza, autoridad local	Qullana.
noche	Tuta.
nodriza	Amani.
nombre	Suti.
nube	Puyu.
nuca	Muchu.
nudo	Kipu.
nuera	Llumchuy.
ñato	Winti.
obedecer	Kasukuy.
objeto hecho de arcilla	Sañu.
oca	Uqa.
ocioso, flojo	Qilla.
odiar, aborrecer	Chiqniy.
ofrenda, ofrendar	Haywakuy.
oir	Uyariy.
ojos	Ñawi.
ojota	Siquy.
ojota	Llanki.
oler, olfatear	Muskiy.
olla	Manka.
olor	Asna.
ombligo	Pupu.
orden, grado	Ñiqi.
ordenar, normas	Kamachiy.
ordenar	Sinriy.
oreja, oído	Rinri.
órgano genital femenino	Raka.
orilla	Pata.
orina	Ispay.
oro	Quri.
ortiga	Itaña.
oso	Ukuku.
ovillar	Kururay.
ovillo	Kurur.
ovino	Chita.
ovino, oveja	Uwiha.
pachamanca	Watya.
padre	Tayta.
paja brava	Ichu.
paja brava	Iru.
paja	Ischu.
pájaro bobo	Waqana.
pájaro carpintero	Hakachu.
pájaro, ave	Pisqu.
pálido(a)	Aya.
palo	Kaspi.
paloma	Urpi.
palta	Palta.
paludismo, malaria	Chukchu.
pan	Tanta.
panca de maíz	Suqutu.
panecillo	Kispiñu.
panecillo	Puyllu.
pantalón	Wara.
pañal del bebé	Mitay.
papa deshidratada	Chuñu.
papa lisa	Olluco. Ulluku.
papagayo	Wakamayu.
papaya	Papaya.
papel	Página. Rapi.
paralítico	Suchu.
pared	Pirqa.
parir, dar a luz	Wachakuy.
parpadear	Qimchiy.
parte baja	Uray.
parte posterior	Qipa.
partir	Chitqay.
paso largo	Chankay.
paso	Tatki.
pastear	Michiy.
patada, puntapié	Hayta.
patear	Haytay.
pati, árbol quebradino	Pati.
pecado	Hucha.
pecar	Huchakuy.
pecho	Qasqu.
pedir	Mañay.
pedir	Uyllay.
pedo	Supi.
pedregal	Ranra ranra.
peinar	Ñaqchay.
peine	Ñaqcha.
pelar	Tipllay.
pellizcar	Chiptiy.
pelota	Haytana.
pene	Lani.
pene	Ullu.
penetrar, deslizarse	Ustuy.
pequeño	Taksa.
pequeño	Uchuy.
perdiz	Yutu, pisaq.
perdonar, olvidar	Pampachay.
perro	Allqu.
pesado	Llasaq.
pesar	Llasay.
pescar	Challway.
pestañas	Qichipra.
petrificado	Rumiyasqa.
pez	Challwa.
piar	Chilakyay.
picaflor	Qinti.
picar	Hayay.
pico	Churuna.
pico	Tuspa.
picotear una y otra vez	Tuspapayay.
picotear	Tuspay.
pie	Chaki.
piedra caliza	Llampu, isku rumi.
piedra preciosa	Umiña.
piedra	Rumi.
piel	Qara.
pierna, muslo	Chanka.
pintar, colorear	Llimpiy.
piojo	Usa.
pircar, edificar	Pirqay.
pisar	Saruy.
pito	Akakllu.
placenta, pares	Paris.
planta	Yura.
plata	Dinero. Qullqi.
plato de barro	Chuwa.
plomo (metal)	Titi.
plomo	Uqi.
pluma	Puru.
pobre	Wakcha.
poder	Atiy.
polilla	Puyu.
pollera	Pullira.
pollo	Chiwchi.
ponche	Punchi.
poncho	Punchu.
poner huevos	Runtuy.
poner	Churay.
poroso, liviano	Sapsa.
posadera	Siki.
prado, pradera	Waylla.
preparar carbón	Killimsay.
preparar un bulto	Qipichay.
primer corte de pelo	Rutuchiy.
primogénito	Piwi.
procrear, engendrar	Churiyay.
procrear, multiplicar, desarrollar, aumentar	Miray.
profesor	Yachachiq.
prohibir, impedir, vedar	Amatay.
propagarse fuego	Mismiy.
provincia	Suyucha.
pudrir, descomponerse	Ismuy.
pueblo	Llaqta.
puente	Chaka.
puerta, entrada	Punku.
pujar	Qamay.
pujar	Quqmay.
pulga	Piki.
pulmones	Surqan.
punzar, hincar	Istiy.
punzar	Tuksiy.
puñado	Hachi.
puño	Aptisqa maki.
puré de quinua	Pisqi.
pus	Qiya.
quemar	Kañay.
quena	Qina.
querer	Munay.
queso	Kisu.
